交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2023/09/01,ZFF,202309  ,1626.4,1638.8,1622.4,1636.8,14.2,0.88%,651,1636,777,1636,1637,1700,1369,,一般,,
2023/09/01,ZFF,202310  ,1632,1639,1632,1638.4,14.6,0.90%,20,1637.4,21,1636.8,1638.4,1644.2,1588.8,,一般,,
2023/09/01,ZFF,202311  ,-,-,-,-,-,-,0,1642.6,0,1612,1665,-,-,,一般,,
2023/09/01,ZFF,202312  ,-,-,-,-,-,-,0,1634.8,1,1614,1667,1670,1483,,一般,,
2023/09/01,ZFF,202403  ,-,-,-,-,-,-,0,1632.8,0,1616,1669,-,-,,一般,,
2023/09/01,ZFF,202406  ,-,-,-,-,-,-,0,1630.8,0,1618,1671,-,-,,一般,,
2023/09/01,ZEF,202309  ,817.1,821.95,815.5,816.25,-1.75,-0.21%,2325,816.15,3195,816.35,816.5,857.45,608,,一般,,
2023/09/01,ZEF,202309  ,818,820.6,813.85,815.2,-2.8,-0.34%,1098,-,-,815.05,815.55,857.45,608,,盤後,,
2023/09/01,ZEF,202310  ,820,821.25,815.8,815.8,-2.4,-0.29%,71,815.7,115,815.75,816.1,833.55,794.5,,一般,,
2023/09/01,ZEF,202310  ,817.65,819.5,813.5,815.7,-2.5,-0.31%,28,-,-,814.65,815.35,833.55,794.5,,盤後,,
2023/09/01,ZEF,202311  ,-,-,-,-,-,-,0,816.5,0,805.1,827.1,825.65,825.65,,一般,,
2023/09/01,ZEF,202311  ,-,-,-,-,-,-,0,-,-,810,825.95,825.65,825.65,,盤後,,
2023/09/01,ZEF,202312  ,-,-,-,-,-,-,0,813.35,21,810,823,845.55,804.55,,一般,,
2023/09/01,ZEF,202312  ,-,-,-,-,-,-,0,-,-,809.95,823.95,845.55,804.55,,盤後,,
2023/09/01,ZEF,202403  ,-,-,-,-,-,-,0,811,0,800,823,-,-,,一般,,
2023/09/01,ZEF,202403  ,-,-,-,-,-,-,0,-,-,785.05,825.55,-,-,,盤後,,
2023/09/01,ZEF,202406  ,-,-,-,-,-,-,0,809,3,797,822,835.8,780.85,,一般,,
2023/09/01,ZEF,202406  ,-,-,-,-,-,-,0,-,-,785.05,825.55,835.8,780.85,,盤後,,
2023/09/01,XJF,202309  ,145.06,145.24,144.97,145.07,-0.43,-0.30%,10,145.07,440,145,145.44,146.88,126.49,,一般,,
2023/09/01,XJF,202309  ,145.56,145.87,145.06,145.08,-0.42,-0.29%,29,-,-,145,145.7,146.88,126.49,,盤後,,
2023/09/01,XJF,202312  ,143,143.12,143,143.11,-0.14,-0.10%,62,143.11,116,142.5,-,144.65,134.57,,一般,,
2023/09/01,XJF,202312  ,143.5,143.68,143.1,143.1,-0.15,-0.10%,81,-,-,142,144.5,144.65,134.57,,盤後,,
2023/09/01,XJF,202403  ,-,-,-,-,-,-,0,140.86,0,-,-,-,-,,一般,,
2023/09/01,XJF,202403  ,-,-,-,-,-,-,0,-,-,-,-,-,-,,盤後,,
2023/09/01,XJF,202406  ,-,-,-,-,-,-,0,139,0,-,-,-,-,,一般,,
2023/09/01,XJF,202406  ,-,-,-,-,-,-,0,-,-,-,-,-,-,,盤後,,
2023/09/01,XIF,202309  ,14512,14659,14512,14640,147,1.01%,104,14640,127,14613,14640,15211,14171,,一般,,
2023/09/01,XIF,202310  ,14615,14647,14615,14631,186,1.29%,17,14631,10,14602,14651,14647,14301,,一般,,
2023/09/01,XIF,202311  ,-,-,-,-,-,-,0,14561,0,-,-,-,-,,一般,,
2023/09/01,XIF,202312  ,-,-,-,-,-,-,0,14659,0,-,-,-,-,,一般,,
2023/09/01,XIF,202403  ,-,-,-,-,-,-,0,14206,0,-,-,-,-,,一般,,
2023/09/01,XIF,202406  ,-,-,-,-,-,-,0,14287,0,-,-,-,-,,一般,,
2023/09/01,XEF,202309  ,1.0853,1.0865,1.0842,1.0865,-0.0045,-0.41%,6,1.0865,169,-,-,1.1293,1.0695,,一般,,
2023/09/01,XEF,202309  ,1.088,1.0882,1.0854,1.0857,-0.0053,-0.49%,72,-,-,1.0828,1.0894,1.1293,1.0695,,盤後,,
2023/09/01,XEF,202312  ,1.0904,1.0906,1.089,1.0906,-0.0067,-0.61%,52,1.0906,68,1.09,-,1.1313,1.0809,,一般,,
2023/09/01,XEF,202312  ,1.091,1.091,1.091,1.091,-0.0063,-0.57%,1,-,-,-,1.0925,1.1313,1.0809,,盤後,,
2023/09/01,XEF,202403  ,-,-,-,-,-,-,0,1.0967,0,-,-,-,-,,一般,,
2023/09/01,XEF,202403  ,-,-,-,-,-,-,0,-,-,-,-,-,-,,盤後,,
2023/09/01,XEF,202406  ,-,-,-,-,-,-,0,1.1004,0,-,-,-,-,,一般,,
2023/09/01,XEF,202406  ,-,-,-,-,-,-,0,-,-,-,-,-,-,,盤後,,
